Sensor,BandNumber,BandCenter,BandwidthLow,BandwidthHigh,Resolution
MODIS,1,0.645,0.62,0.67,250
MODIS,2,0.858,0.8405,0.8755,250
MODIS,3,0.469,0.459,0.479,500
MODIS,4,0.555,0.545,0.565,500
MODIS,5,1.24,1.23,1.25,500
MODIS,6,1.64,1.628,1.652,500
MODIS,7,2.13,2.105,2.155,500
MODIS,8,0.412,0.4045,0.4195,1000
MODIS,9,0.443,0.438,0.448,1000
MODIS,10,0.488,0.483,0.493,1000
MODIS,11,0.531,0.526,0.536,1000
MODIS,12,0.551,0.546,0.556,1000
MODIS,13,0.667,0.662,0.672,1000
MODIS,14,0.678,0.673,0.683,1000
MODIS,15,0.748,0.743,0.753,1000
MODIS,16,0.87,0.8625,0.8775,1000
MODIS,17,0.905,0.89,0.92,1000
MODIS,18,0.936,0.931,0.941,1000
MODIS,19,0.94,0.915,0.965,1000
MODIS,20,1.375,1.36,1.39,1000
MODIS,21,3.75,3.66,3.84,1000
MODIS,22,3.959,3.929,3.989,1000
MODIS,23,3.959,3.929,3.989,1000
MODIS,24,4.05,4.02,4.08,1000
MODIS,25,4.515,4.4325,4.5975,1000
MODIS,26,4.515,4.4815,4.5485,1000
MODIS,27,6.715,6.535,6.895,1000
MODIS,28,7.325,7.175,7.475,1000
MODIS,29,8.55,8.4,8.7,1000
MODIS,30,9.73,9.58,9.88,1000
MODIS,31,11.03,10.78,11.28,1000
MODIS,32,12.02,11.77,12.27,1000
MODIS,33,13.335,13.185,13.485,1000
MODIS,34,13.635,13.485,13.785,1000
MODIS,35,13.935,13.785,14.085,1000
MODIS,36,14.235,14.085,14.385,1000
VIIRS,M1,0.412,0.402,0.422,750
VIIRS,M2,0.445,0.436,0.454,750
VIIRS,M3,0.488,0.478,0.498,750
VIIRS,M4,0.555,0.545,0.565,750
VIIRS,M5,0.672,0.662,0.682,750
VIIRS,M6,0.746,0.7385,0.7535,750
VIIRS,M7,0.865,0.8455,0.8845,750
VIIRS,M8,1.24,1.23,1.25,750
VIIRS,M9,1.378,1.3705,1.3855,750
VIIRS,M10,1.61,1.58,1.64,750
VIIRS,M11,2.25,2.225,2.275,750
VIIRS,M12,3.7,3.61,3.79,750
VIIRS,M13,4.05,3.9725,4.1275,750
VIIRS,M14,8.55,8.4,8.7,750
VIIRS,M15,10.763,10.263,11.263,750
VIIRS,M16,12.013,11.538,12.488,750
VIIRS,DNB,0.7,0.5,0.9,375
VIIRS,I1,0.64,0.6,0.68,375
VIIRS,I2,0.865,0.845,0.884,375
VIIRS,I3,1.61,1.58,1.64,375
VIIRS,I4,3.74,3.55,3.93,375
VIIRS,I5,11.45,10.5,12.4,375
ASTER,1,0.56,0.52,0.6,15
ASTER,2,0.66,0.63,0.69,15
ASTER,3,0.81,0.76,0.86,15
ASTER,4,1.65,1.6,1.7,30
ASTER,5,2.165,2.145,2.185,30
ASTER,6,2.205,2.185,2.225,30
ASTER,7,2.26,2.235,2.285,30
ASTER,8,2.33,2.295,2.365,30
ASTER,9,2.395,2.36,2.43,30
ASTER,10,8.3,8.125,8.475,90
ASTER,11,8.65,8.475,8.825,90
ASTER,12,9.1,8.925,9.275,90
ASTER,13,10.6,10.25,10.95,90
ASTER,14,11.3,10.95,11.65,90
TIRS (Landsat 8),10,10.8,10.6,11.2,100
TIRS (Landsat 8),11,12,11.5,12.5,100
OLI (Landsat 8),1,0.443,0.433,0.453,30
OLI (Landsat 8),2,0.482,0.45,0.515,30
OLI (Landsat 8),3,0.565,0.525,0.6,30
OLI (Landsat 8),4,0.66,0.63,0.68,30
OLI (Landsat 8),5,0.867,0.845,0.885,30
OLI (Landsat 8),9,1.375,1.36,1.39,30
OLI (Landsat 8),6,1.65,1.56,1.66,30
OLI (Landsat 8),7,2.215,2.1,2.3,30
OLI (Landsat 8),8,0.59,0.5,0.68,15
ABI (GOES-R),1,0.47,0.45,0.49,1000
ABI (GOES-R),2,0.64,0.59,0.69,500
ABI (GOES-R),3,0.86,0.84,0.88,1000
ABI (GOES-R),4,1.38,1.365,1.395,2000
ABI (GOES-R),5,1.61,1.58,1.64,1000
ABI (GOES-R),6,2.26,2.235,2.285,2000
ABI (GOES-R),7,3.9,3.8,4,2000
ABI (GOES-R),8,6.15,5.7,6.6,2000
ABI (GOES-R),9,7,6.8,7.2,2000
ABI (GOES-R),10,7.4,7.3,7.5,2000
ABI (GOES-R),11,8.5,8.3,8.7,2000
ABI (GOES-R),12,9.7,9.6,9.8,2000
ABI (GOES-R),13,10.3,10.05,10.55,2000
ABI (GOES-R),14,11.2,10.8,11.6,2000
ABI (GOES-R),15,12.3,11.8,12.8,2000
ABI (GOES-R),16,13.3,13,13.6,2000
IMAGER (GOES-N),1,0.65,0.55,0.75,1000
IMAGER (GOES-N),2,3.9,3.8,4,4000
IMAGER (GOES-N),3,6.55,5.8,7.3,4000
IMAGER (GOES-N),4,10.7,10.2,11.2,4000
IMAGER (GOES-N),5,13.35,13,13.7,4000
ECOSTRESS,1,1.66,1.475,1.845,70
ECOSTRESS,2,8.285,8.115,8.455,70
ECOSTRESS,3,8.785,8.61,8.96,70
ECOSTRESS,4,9.06,8.88,9.24,70
ECOSTRESS,5,10.522,10.252,10.792,70
ECOSTRESS,6,12.001,11.741,12.261,70
PlanetScope,1,0.485,0.455,0.515,3
PlanetScope,2,0.545,0.5,0.59,3
PlanetScope,3,0.63,0.59,0.67,3
PlanetScope,4,0.82,0.78,0.86,3
RapidEye,1,0.475,0.44,0.51,5
RapidEye,2,0.555,0.52,0.59,5
RapidEye,3,0.6575,0.63,0.685,5
RapidEye,4,0.71,0.69,0.73,5
RapidEye,5,0.805,0.76,0.85,5
SkySat,1,0.4825,0.45,0.515,0.8
SkySat,2,0.555,0.515,0.595,0.8
SkySat,3,0.65,0.605,0.695,0.8
SkySat,4,0.82,0.74,0.9,0.8
SkySat,5,0.675,0.45,0.9,0.8
Pleiades,Panchromatic,0.49,0.47,0.83,0.5
Pleiades,Blue,0.43,0.55,2,
Pleiades,Green,0.5,0.62,2,
Pleiades,Red,0.59,0.71,2,
Pleiades,NIR,0.74,0.94,2,
WorldView-3 MS,Coastal,0.425,0.4,0.45,1.24
WorldView-3 CAVIS,Desert Clouds,0.4125,0.405,0.42,30
WorldView-3 PAN,Panchromatic,0.625,0.45,0.8,0.31
WorldView-3 MS,Blue,0.48,0.45,0.51,1.24
WorldView-3 CAVIS,Aerosol-1,0.484,0.459,0.509,30
WorldView-3 MS,Green,0.545,0.51,0.58,1.24
WorldView-3 CAVIS,Green,0.555,0.525,0.585,30
WorldView-3 MS,Yellow,0.605,0.585,0.625,1.24
WorldView-3 CAVIS,Aerosol-2,0.645,0.62,0.67,30
WorldView-3 MS,Red,0.66,0.63,0.69,1.24
WorldView-3 MS,Red Edge,0.725,0.705,0.745,1.24
WorldView-3 MS,Near-IR1,0.8325,0.77,0.895,1.24
WorldView-3 CAVIS,Water-1,0.865,0.845,0.885,30
WorldView-3 MS,Near-IR2,0.95,0.86,1.04,1.24
WorldView-3 CAVIS,Water-2,0.912,0.897,0.927,30
WorldView-3 CAVIS,Water-3,0.9475,0.93,0.965,30
WorldView-3 SWIR,SWIR-1,1.21,1.195,1.225,3.7
